,picture_link,scraped_text,cleaned_text,username,post_date,location,tags,hastags,emojis
12,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/210882252_356262055846134_3419051034425161245_n.jpg?tp=1&_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=Qp9qdge5sMIAX8sjvCE&edm=ABZsPhsBAAAA&ccb=7-4&oh=f834abe04d4ed697a9a39e7733e0f5aa&oe=60EDB9F9&_nc_sid=4efc9f&ig_cache_key=MjYxMzQxNjAyMzc4NTE4NTAwMw%3D%3D.2-ccb7-4,"Photo by Taylor Gomez in San Antonio, Texas. May be an image of 2 people.",Photo by Taylor Gomez in San Antonio Texas May be an image of 2 people ,Taylor Gomez,2021-05-08,Texas,,,
13,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/c0.6.720.720a/210279727_986257412190820_2475182975241811109_n.jpg?tp=1&_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=GVD7kCPi6TQAX_I7WI6&tn=polurD06mMXAbDwf&edm=ABZsPhsBAAAA&ccb=7-4&oh=e0bfe91d491ea20c437630c49c865226&oe=60EDCC85&_nc_sid=4efc9f&ig_cache_key=MjYxMzQxNTk3NDQwNDM4NzM4OQ%3D%3D.2-ccb7-4,"Photo by Trendy collections on July 08, 2021.",Photo by Trendy collections on July 08 2021 ,Trendy collections,2021-07-08,,,,
14,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/212538737_970239047076060_6253830957704928718_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=DZLCiwTBxjoAX--YJoN&tn=polurD06mMXAbDwf&edm=ABZsPhsBAAAA&ccb=7-4&oh=ca2b6051a811cb959921d5e490a2f889&oe=60ED5EA1&_nc_sid=4efc9f&ig_cache_key=MjYxMzQxNTk2NDIyODc4NDg0NQ%3D%3D.2-ccb7-4,,,,,,,,
15,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/c0.4.320.320a/211474786_286576093221526_6749474669440513916_n.jpg?tp=1&_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=0v5ObLY1yMEAX-W-Ykf&tn=polurD06mMXAbDwf&edm=ABZsPhsBAAAA&ccb=7-4&oh=e416f818a7de1c568b1dc929871411ef&oe=60EE1134&_nc_sid=4efc9f&ig_cache_key=MjYxMzQxNTk1MjIyNDQyOTY1OQ%3D%3D.2-ccb7-4,,,,,,,,
16,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/c0.71.960.960a/212656047_1174029249782208_1682021168865330610_n.jpg?tp=1&_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=VMKolReGJyMAX-_7mYK&edm=ABZsPhsBAAAA&ccb=7-4&oh=4c5ee18fc8c3d30998cc87dcf2558547&oe=60ED45D1&_nc_sid=4efc9f&ig_cache_key=MjYxMzQxNTk1NDQ4OTc4NjA3NQ%3D%3D.2-ccb7-4,"Photo by Cakes by Shilpa Vijay K in JP Nagar, Bangalore South. May be an image of cake.",Photo by Cakes by Shilpa Vijay K in JP Nagar Bangalore South May be an image of cake ,Cakes by Shilpa Vijay K,2021-05-08,Cakes,,,
17,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/211554740_1108903926305975_5918167986290013398_n.jpg?tp=1&_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=eLbFC-3rggAAX__6A8Z&tn=polurD06mMXAbDwf&edm=ABZsPhsBAAAA&ccb=7-4&oh=05f42d1e0478072bf1692773fe3c57e0&oe=60EEB3B9&_nc_sid=4efc9f&ig_cache_key=MjYxMzQxNTkxODgwMTUyMTE1MA%3D%3D.2-ccb7-4,,,,,,,,
18,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/210892867_213797777282884_4494311864861433547_n.jpg?tp=1&_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=vFKfAZdpQ_0AX8BBR_U&edm=ABZsPhsBAAAA&ccb=7-4&oh=7d64e4f59f7f0247f8b7a2510839a274&oe=60ED6FED&_nc_sid=4efc9f&ig_cache_key=MjYxMzQxNTU5MjkzODExMjA3NA%3D%3D.2-ccb7-4,,,,,,,,
19,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/212060402_195051102565803_4393601611389678685_n.jpg?tp=1&_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=TB9JqBksVUIAX_4OTv1&edm=ABZsPhsBAAAA&ccb=7-4&oh=ee036508d9fd21bf87304155ddaa2909&oe=60EDE691&_nc_sid=4efc9f&ig_cache_key=MjYxMzQxNTkwMDE0NzM3NTExMw%3D%3D.2-ccb7-4,"Photo shared by SHAIKH KAMIL on July 08, 2021 tagging @1chimkande_26, and @shaikh_kamil_59. May be an image of 1 person.",Photo shared by SHAIKH KAMIL on July 08 2021 tagging 26 and kamil 59 May be an image of 1 person ,SHAIKH KAMIL,2021-07-08,,"@1chimkande, @shaikh",,
20,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/210882434_171937368287972_8708861986525065996_n.jpg?tp=1&_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=QZJR81TV4AIAX9rOUc3&edm=ABZsPhsBAAAA&ccb=7-4&oh=92d105cb2931c741bb6c3a2b3a7fd14e&oe=60EDB06A&_nc_sid=4efc9f&ig_cache_key=MjYxMzQxNTg2NjUwOTkyNDM0NA%3D%3D.2-ccb7-4,,,,,,,,
21,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/211502759_555737955420619_2189958573233530130_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=bqN3oyketLsAX_IG3fi&edm=ABZsPhsBAAAA&ccb=7-4&oh=489b9a523fe94f415632b59855e3b178&oe=60EDF1F2&_nc_sid=4efc9f&ig_cache_key=MjYxMzQxNTg1NzE5NTY5NTAyNg%3D%3D.2-ccb7-4,"Photo by ♕︎𝒟𝒾𝒷𝓎ℴ𝒹𝓇𝒾𝓉𝒶'𝓈 𝓒𝓻𝓮𝓪𝓽𝓲𝓸𝓷 𓅓 in 𝐇𝐚𝐩𝐩𝐲 𝐁𝐢𝐫𝐭𝐡𝐝𝐚𝐲 - শুভ জন্মদিন 𑁍︎ with @iamdebadritabasu, and @canvas_of_dibyodrita_. May be a closeup of 2 people and text.",Photo by in with and of dibyodrita May be a closeup of 2 people and text ,♕︎𝒟𝒾𝒷𝓎ℴ𝒹𝓇𝒾𝓉𝒶'𝓈 𝓒𝓻𝓮𝓪𝓽𝓲𝓸𝓷 𓅓,2021-05-08,,"@iamdebadritabasu,, @canvas",,
22,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/212670984_310237690703444_8189848050022200951_n.jpg?tp=1&_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=YD9O8kTU1AQAX_41X2m&edm=ABZsPhsBAAAA&ccb=7-4&oh=05eb23f9e8f3b1d8fd892a182a53c73e&oe=60ED639D&_nc_sid=4efc9f&ig_cache_key=MjYxMzQxNTA1MTExMTQ1OTc4Mw%3D%3D.2-ccb7-4,,,,,,,,
23,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/c0.90.720.720a/213266036_254710439326727_396400984291850260_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Ou05CzPgSLgAX_bKP0D&edm=ABZsPhsBAAAA&ccb=7-4&oh=b5c5dd3aca2607571be25002a531c520&oe=60EEAA03&_nc_sid=4efc9f&ig_cache_key=MjYxMzQxMjU0MzU5NTI4NzI2Ng%3D%3D.2-ccb7-4,,,,,,,,
